epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.881,1.90298,3.57559,1.8267,0.37075,0.26739,0.23924,0.09402,1.43201,13.6254,1.30014,0.00333161,0.00333161,0.00333161
2,297.482,1.92716,2.81591,1.80231,0.35436,0.32502,0.2712,0.10454,1.43142,4.46221,1.39882,0.00659896,0.00659896,0.00659896
3,463.38,2.01947,2.7022,1.91979,0.31599,0.30244,0.24038,0.08964,1.51201,2.60558,1.47037,0.00980031,0.00980031,0.00980031
4,609.187,2.05646,2.67936,1.97752,0.40246,0.35422,0.3133,0.11896,1.4642,1.94597,1.46656,0.009703,0.009703,0.009703
5,757.384,1.9939,2.53938,1.93797,0.43235,0.37945,0.35382,0.14562,1.37732,2.00338,1.41436,0.009604,0.009604,0.009604
6,904.577,1.9457,2.40583,1.89055,0.46737,0.40731,0.40228,0.16496,1.35446,1.91159,1.39471,0.009505,0.009505,0.009505
7,1050.74,1.9133,2.32583,1.8654,0.51757,0.43413,0.42982,0.18441,1.36641,2.02208,1.36592,0.009406,0.009406,0.009406
8,1192.87,1.88463,2.21176,1.83775,0.53143,0.46253,0.47629,0.20457,1.34739,1.94317,1.36309,0.009307,0.009307,0.009307
9,1333.81,1.85923,2.15111,1.82062,0.55512,0.50465,0.51309,0.23205,1.32173,1.50396,1.34158,0.009208,0.009208,0.009208
10,1475,1.83852,2.08721,1.8013,0.60445,0.48803,0.53344,0.24505,1.31912,1.45059,1.32784,0.009109,0.009109,0.009109
11,1616.23,1.80945,2.0383,1.78132,0.61544,0.50859,0.54737,0.2546,1.29975,1.67953,1.32962,0.00901,0.00901,0.00901
12,1757.55,1.79584,1.98069,1.7615,0.62196,0.54032,0.58156,0.27752,1.28512,1.49734,1.29045,0.008911,0.008911,0.008911
13,1898.54,1.78454,1.96749,1.74304,0.64754,0.5196,0.59056,0.28951,1.25158,1.35377,1.25687,0.008812,0.008812,0.008812
14,2039.73,1.76627,1.91111,1.72754,0.65962,0.54705,0.60508,0.29924,1.24244,1.42103,1.25763,0.008713,0.008713,0.008713
15,2180.63,1.7537,1.87452,1.71816,0.65397,0.5823,0.62738,0.31151,1.25927,1.3404,1.2551,0.008614,0.008614,0.008614
16,2322.05,1.74103,1.83878,1.70426,0.67944,0.56156,0.62697,0.32403,1.20236,1.47626,1.21302,0.008515,0.008515,0.008515
17,2463.57,1.72083,1.79046,1.67502,0.68385,0.5648,0.63187,0.31983,1.22589,1.38467,1.23362,0.008416,0.008416,0.008416
18,2604.79,1.70888,1.74984,1.66774,0.67304,0.59075,0.65494,0.34556,1.21259,1.20058,1.20216,0.008317,0.008317,0.008317
19,2746.18,1.68923,1.69737,1.65007,0.73036,0.59038,0.67566,0.35137,1.19406,1.19275,1.20134,0.008218,0.008218,0.008218
20,2887.16,1.67878,1.69264,1.63747,0.69593,0.62215,0.68402,0.36586,1.15437,1.17744,1.16637,0.008119,0.008119,0.008119
21,3028.35,1.6713,1.64101,1.62122,0.73366,0.61962,0.68895,0.37412,1.17623,1.1708,1.17653,0.00802,0.00802,0.00802
22,3169.81,1.65647,1.6236,1.61837,0.72267,0.63702,0.70295,0.38253,1.16063,1.162,1.16529,0.007921,0.007921,0.007921
23,3311.15,1.64831,1.60365,1.61424,0.67416,0.65449,0.70617,0.38879,1.16143,1.11275,1.1726,0.007822,0.007822,0.007822
24,3452.56,1.63193,1.57665,1.59421,0.76319,0.64077,0.72499,0.40216,1.14412,1.05995,1.15506,0.007723,0.007723,0.007723
25,3617.24,1.62239,1.55978,1.58249,0.76394,0.65314,0.73008,0.40564,1.14679,1.022,1.13865,0.007624,0.007624,0.007624
26,3757.99,1.60671,1.53094,1.56937,0.74805,0.66058,0.73925,0.41624,1.14701,1.06583,1.1462,0.007525,0.007525,0.007525
27,3899.46,1.5992,1.51734,1.56722,0.76829,0.66322,0.74499,0.41988,1.11444,1.02397,1.12854,0.007426,0.007426,0.007426
28,4040.55,1.57877,1.48537,1.55607,0.79186,0.67472,0.75598,0.42931,1.12735,1.05476,1.13988,0.007327,0.007327,0.007327
29,4181.93,1.57953,1.44351,1.54457,0.77823,0.68779,0.76615,0.43967,1.10797,0.96502,1.11771,0.007228,0.007228,0.007228
