epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.168,1.05176,0.73467,1.15621,0.88257,0.76733,0.85394,0.55359,0.99527,0.76886,1.03663,0.00333161,0.00333161,0.00333161
2,303.624,1.13047,0.80477,1.19393,0.8618,0.7646,0.84422,0.53237,1.02901,0.82864,1.05106,0.00662096,0.00662096,0.00662096
3,444.138,1.26289,0.95808,1.27671,0.80109,0.70405,0.78885,0.45585,1.158,1.73618,1.14757,0.0098663,0.0098663,0.0098663
4,584.185,1.41086,1.17202,1.37797,0.80609,0.69912,0.77988,0.44552,1.11509,1.28212,1.1076,0.009802,0.009802,0.009802
5,2657.41,1.4368,1.21329,1.39556,0.78246,0.71437,0.77484,0.44764,1.12169,1.19177,1.08193,0.009736,0.009736,0.009736
6,2793.63,1.43892,1.19518,1.39655,0.79325,0.70789,0.78334,0.4565,1.14797,1.18541,1.12779,0.00967,0.00967,0.00967
7,2931.16,1.44109,1.19689,1.39871,0.80391,0.70346,0.78259,0.45979,1.12908,1.09377,1.1015,0.009604,0.009604,0.009604
8,3069.79,1.42622,1.17109,1.38495,0.78467,0.71862,0.78746,0.45269,1.13354,1.0827,1.10142,0.009538,0.009538,0.009538
9,3208.56,1.42667,1.17554,1.39405,0.82435,0.70207,0.79307,0.4653,1.10191,0.9148,1.11548,0.009472,0.009472,0.009472
10,3347.44,1.42118,1.17377,1.38534,0.83661,0.71592,0.79944,0.47312,1.09065,1.2784,1.07704,0.009406,0.009406,0.009406
11,3486.28,1.39872,1.1432,1.36998,0.83124,0.72979,0.81631,0.48855,1.08932,0.95038,1.09096,0.00934,0.00934,0.00934
12,3625.67,1.38771,1.12827,1.36274,0.81896,0.73165,0.80084,0.47968,1.08777,1.30698,1.09501,0.009274,0.009274,0.009274
13,3765,1.39199,1.14019,1.36913,0.82167,0.72418,0.80643,0.48605,1.08674,1.04859,1.08653,0.009208,0.009208,0.009208
14,3904.58,1.38642,1.10962,1.36217,0.84888,0.74781,0.82674,0.49818,1.06436,1.14812,1.06542,0.009142,0.009142,0.009142
15,4043.97,1.38513,1.1037,1.35066,0.81994,0.74391,0.81434,0.49057,1.08642,0.92726,1.09032,0.009076,0.009076,0.009076
16,4183.33,1.37147,1.09333,1.34792,0.85767,0.73437,0.82235,0.49954,1.06923,1.00017,1.07252,0.00901,0.00901,0.00901
17,4322.78,1.35927,1.07856,1.33339,0.84153,0.74806,0.83284,0.50299,1.07941,0.89893,1.08439,0.008944,0.008944,0.008944
18,4462.32,1.35373,1.06983,1.33255,0.85244,0.74371,0.83069,0.50864,1.0392,0.93345,1.04826,0.008878,0.008878,0.008878
19,4601.73,1.34232,1.05141,1.32716,0.8458,0.76714,0.83996,0.51577,1.04638,0.85871,1.05559,0.008812,0.008812,0.008812
20,4741.94,1.34151,1.06378,1.32879,0.86182,0.7313,0.83125,0.51255,1.05579,0.91874,1.04742,0.008746,0.008746,0.008746
21,4881.6,1.3325,1.03702,1.31253,0.86995,0.75538,0.84759,0.53066,1.01925,0.93461,1.02053,0.00868,0.00868,0.00868
22,5020.83,1.32806,1.03372,1.31341,0.83267,0.75745,0.83942,0.52895,1.02666,0.82969,1.03092,0.008614,0.008614,0.008614
23,5160.4,1.32216,1.02454,1.30862,0.86175,0.7639,0.84996,0.52941,1.0084,0.74459,1.02968,0.008548,0.008548,0.008548
24,5300.16,1.31725,1.0282,1.30693,0.88452,0.7781,0.86283,0.54801,1.02104,0.76122,1.0373,0.008482,0.008482,0.008482
25,5439.54,1.31489,1.01483,1.30437,0.87223,0.77439,0.85523,0.5384,1.01471,0.75387,1.02069,0.008416,0.008416,0.008416
26,5579.09,1.30233,1.01078,1.29967,0.87726,0.77599,0.85552,0.54712,1.01503,0.82092,1.04461,0.00835,0.00835,0.00835
27,5718.28,1.30145,0.99481,1.29683,0.87242,0.77856,0.85938,0.55433,1.00592,0.85991,1.02511,0.008284,0.008284,0.008284
28,5857.91,1.29388,0.99099,1.29158,0.87441,0.79019,0.86175,0.55569,0.99164,0.74094,1.02719,0.008218,0.008218,0.008218
29,5997.5,1.28774,0.97378,1.28272,0.88691,0.78925,0.86585,0.56317,0.98047,0.68323,1.02164,0.008152,0.008152,0.008152
30,6136.84,1.27888,0.96928,1.27565,0.86354,0.80002,0.8649,0.56348,0.98659,0.68426,1.01375,0.008086,0.008086,0.008086
31,6276.44,1.28308,0.97617,1.28225,0.87621,0.7981,0.87126,0.56607,0.97943,0.71456,0.99766,0.00802,0.00802,0.00802
32,6415.94,1.26521,0.96038,1.27333,0.87493,0.79885,0.86948,0.57012,0.96768,0.70981,1.00545,0.007954,0.007954,0.007954
33,6555.47,1.26658,0.96004,1.27103,0.86246,0.80877,0.87068,0.57286,0.96592,0.74643,0.99165,0.007888,0.007888,0.007888
34,6694.84,1.26938,0.95472,1.26977,0.87054,0.79957,0.86441,0.56798,0.9816,0.69418,1.00949,0.007822,0.007822,0.007822
35,6834.55,1.25764,0.94052,1.25875,0.8801,0.80566,0.86977,0.57059,0.97159,0.82798,0.99794,0.007756,0.007756,0.007756
36,6982.94,1.24994,0.93044,1.25737,0.87743,0.80429,0.86966,0.57198,0.97268,0.78393,1.01051,0.00769,0.00769,0.00769
37,7133,1.23272,0.91984,1.24846,0.88451,0.80642,0.87285,0.57448,0.95715,0.71425,0.98868,0.007624,0.007624,0.007624
38,7282.99,1.24022,0.91886,1.2497,0.87205,0.8143,0.87063,0.57946,0.94039,0.67533,0.97653,0.007558,0.007558,0.007558
39,7432.81,1.23539,0.90602,1.24035,0.88281,0.80943,0.87401,0.58326,0.9358,0.71555,0.97103,0.007492,0.007492,0.007492
40,7582.74,1.23215,0.90695,1.24731,0.89994,0.80649,0.88288,0.58913,0.92648,0.76657,0.96359,0.007426,0.007426,0.007426
41,7732.5,1.22485,0.8993,1.23982,0.88514,0.81199,0.88205,0.58983,0.93604,0.69802,0.98115,0.00736,0.00736,0.00736
42,7882.46,1.21702,0.89799,1.23411,0.89695,0.80945,0.88236,0.5912,0.93367,0.65457,0.97698,0.007294,0.007294,0.007294
43,8032.66,1.2158,0.89037,1.23124,0.88661,0.82287,0.88211,0.59214,0.93925,0.68842,0.98615,0.007228,0.007228,0.007228
44,8182.38,1.21271,0.8796,1.22923,0.89903,0.80744,0.88364,0.59552,0.9373,0.67836,0.98533,0.007162,0.007162,0.007162
